Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-10-28 00:00:00-04:00,15.100977817625822,15.183849179785918,14.972067590385727,14.9996919631958,2117800,0.0,0.0
2025-10-29 00:00:00-04:00,15.036523996113159,15.239097478650718,14.916821882856935,14.92602825164795,2102900,0.0,0.0
2025-10-30 00:00:00-04:00,14.889197939855968,14.926028684899926,14.566920578437289,14.686623573303223,3097500,0.0,0.0
2025-10-31 00:00:00-04:00,14.751077807769166,14.953651271952507,14.64058207331545,14.935235023498535,2084000,0.0,0.0
2025-11-03 00:00:00-05:00,14.962861126811134,15.082563243066684,14.797118384095514,15.045732498168945,2324200,0.0,0.0
2025-11-04 00:00:00-05:00,14.944445490210121,15.174643363157056,14.926029238869472,15.156227111816406,2393800,0.0,0.0
2025-11-05 00:00:00-05:00,15.193059493601801,15.358802241807991,15.183851368004749,15.349594116210938,2255500,0.0,0.0
2025-11-06 00:00:00-05:00,15.423254410743734,15.450878782244072,15.257511694281789,15.266719818115234,2400100,0.0,0.0
2025-11-07 00:00:00-05:00,15.239096462568938,15.54295754425018,15.202265721049779,15.496918678283691,2815200,0.0,0.0
2025-11-10 00:00:00-05:00,15.570582963052727,15.588999213183914,15.423256474543782,15.432464599609375,2698600,0.0,0.0
2025-11-11 00:00:00-05:00,15.515335072432972,15.736324792427313,15.515335072432972,15.6626615524292,2930000,0.0,0.0
2025-11-12 00:00:00-05:00,15.74553317511436,15.800780166951196,15.404839586868434,15.487710952758789,3297100,0.0,0.0
2025-11-13 00:00:00-05:00,15.441671869220555,15.478502611172264,15.220682148699764,15.239096641540527,3542600,0.0,0.0
2025-11-14 00:00:00-05:00,15.248304750755892,15.450879978232125,15.174641510656402,15.368008613586426,3549300,0.0,0.0
2025-11-17 00:00:00-05:00,15.414718489157176,15.536167002311348,15.274585041088987,15.358665466308594,2863300,0.24,0.0
2025-11-18 00:00:00-05:00,15.293270784945577,15.564195227955585,15.209190355278508,15.545510292053223,2278100,0.0,0.0
2025-11-19 00:00:00-05:00,15.545509192751839,15.657617018344741,15.349322725331053,15.36800765991211,2633800,0.0,0.0
2025-11-20 00:00:00-05:00,15.433403293261657,15.554851805386464,15.227872574736434,15.237215042114258,2398100,0.0,0.0
2025-11-21 00:00:00-05:00,15.274584905201761,15.610904821194723,15.237215035706182,15.517483711242676,2884400,0.0,0.0
2025-11-24 00:00:00-05:00,15.573537414998412,15.676302778714211,15.517484390195946,15.648275375366211,2260400,0.0,0.0
2025-11-25 00:00:00-05:00,15.67630357544269,15.975255432107739,15.666961107185205,15.928543090820312,3519500,0.0,0.0
2025-11-26 00:00:00-05:00,15.928543854326389,16.43302647305034,15.928543854326389,16.274208068847656,4331200,0.0,0.0
2025-11-28 00:00:00-05:00,16.36762809753418,16.451708519211746,16.274205208793173,16.36762809753418,1969000,0.0,0.0
2025-12-01 00:00:00-05:00,16.236837117083283,16.32091754796046,16.031308164879956,16.124731063842773,3025200,0.0,0.0
2025-12-02 00:00:00-05:00,16.16210174560547,16.274209598714126,16.08736377083099,16.16210174560547,2269500,0.0,0.0
2025-12-03 00:00:00-05:00,16.264862741729733,16.38631303166106,16.171439852988726,16.36762809753418,2050900,0.0,0.0
2025-12-04 00:00:00-05:00,16.37697288966932,16.42368344972472,16.27420751927507,16.292892456054688,1883300,0.0,0.0
2025-12-05 00:00:00-05:00,16.30223464331802,16.470393725753798,16.218154211153326,16.423683166503906,1879600,0.0,0.0
2025-12-08 00:00:00-05:00,16.423683052036328,16.433025520199916,16.152758602866708,16.180784225463867,2980500,0.0,0.0
2025-12-09 00:00:00-05:00,16.218153436854134,16.2742064616566,15.610905504235546,15.648275375366211,4902300,0.0,0.0
